date,admin_level_1,state,tests_increase,tests_total,tests_pending,cases_positive_increase,cases_positive_total,cases_negative_increase,cases_negative_total,deaths_increase,deaths_total,recovered_total,hospitilzations_current,hospitalizations_increase,hospitalizations_total,icu_current,icu_total,ventilator_current,ventilator_total,last_checked_ts
2021-03-07,56,56,1170059,363825123,11808,41835,28756489,131835,74582825,842,515151,,40199,726,776361,8134,45475,2802,4281,2021-03-07 23:59:59.000000 UTC
2021-03-06,56,56,1430992,362655064,11783,60015,28714654,143835,74450990,1680,514309,,41401,503,775635,8409,45453,2811,4280,2021-03-06 23:59:59.000000 UTC
2021-03-05,56,56,1744417,361224072,12213,68787,28654639,271917,74307155,2221,512629,,42541,2781,775132,8634,45373,2889,4275,2021-03-05 23:59:59.000000 UTC
2021-03-04,56,56,1590984,359479655,12405,65487,28585852,177957,74035238,1743,510408,,44172,1530,772351,8970,45293,2973,4267,2021-03-04 23:59:59.000000 UTC
2021-03-03,56,56,1406795,357888671,11778,66836,28520365,267001,73857281,2449,508665,,45462,2172,770821,9359,45214,3094,4260,2021-03-03 23:59:59.000000 UTC
2021-03-02,56,56,1343519,356481876,11196,54248,28453529,255779,73590280,1728,506216,,46388,1871,768649,9465,45084,3169,4257,2021-03-02 23:59:59.000000 UTC
2021-02-26,56,56,1803309,350920316,11945,74857,28225595,276829,72807735,2141,500349,,51112,1868,763447,10466,44791,3466,4247,2021-02-26 23:59:59.000000 UTC
2021-02-25,56,56,1826144,349117007,11813,75565,28150738,272209,72530906,3138,498208,,52669,2047,761579,10846,44636,3567,4240,2021-02-25 23:59:59.000000 UTC
2021-02-24,56,56,1450666,347290863,12548,73258,28075173,245318,72258697,2447,495070,,54118,2172,759532,11026,44534,3685,4227,2021-02-24 23:59:59.000000 UTC
2021-02-23,56,56,1193835,345840197,11200,69105,28001915,225267,72013379,2241,492623,,55058,2164,757360,11272,44420,3755,4214,2021-02-23 23:59:59.000000 UTC
2021-02-22,56,56,1201247,344646362,9499,52530,27932810,123611,71788112,1235,490382,,55403,1305,755196,11536,44266,3804,4200,2021-02-22 23:59:59.000000 UTC
2021-02-19,56,56,1878033,340921639,8711,74676,27749224,224755,71365933,2477,485700,,59882,2674,751162,12491,44085,4118,4187,2021-02-19 23:59:59.000000 UTC
2021-02-18,56,56,1345849,339043606,8679,66824,27674548,218491,71141178,2616,483223,,62224,2497,748488,13036,43964,4180,4178,2021-02-18 23:59:59.000000 UTC
2021-02-17,56,56,1298421,337697757,8548,66839,27607724,233666,70922687,2348,480607,,63329,2857,745991,13094,43823,4271,4154,2021-02-17 23:59:59.000000 UTC
2021-02-16,56,56,1053698,336399336,11547,56312,27540885,101102,70689021,1353,478259,,64457,2094,743134,13607,43673,4415,4149,2021-02-16 23:59:59.000000 UTC
2021-02-15,56,56,1123560,335345638,11494,55077,27484573,143388,70587919,1078,476906,,65379,1130,741040,13790,43553,4468,4143,2021-02-15 23:59:59.000000 UTC
2021-02-14,56,56,1439631,334222078,11515,72164,27429496,171877,70444531,1366,475828,,66947,1236,739910,14038,43516,4542,4141,2021-02-14 23:59:59.000000 UTC
2021-02-13,56,56,1757608,332782447,11529,90642,27357332,234293,70272654,3467,474462,,69207,1805,738674,14387,43463,4648,4140,2021-02-13 23:59:59.000000 UTC
2021-02-12,56,56,1812454,331024839,9434,101030,27266690,255983,70038361,5427,470995,,71471,2347,736869,14766,43389,4849,4126,2021-02-12 23:59:59.000000 UTC
2021-02-11,56,56,1855929,329212385,11981,102417,27165660,260124,69782378,3873,465568,,74208,2460,734522,15181,43291,4970,4113,2021-02-11 23:59:59.000000 UTC
2021-02-10,56,56,1382709,327356456,12079,95194,27063243,155861,69522254,3445,461695,,76979,3226,732062,15788,43184,5121,4106,2021-02-10 23:59:59.000000 UTC
2021-02-09,56,56,1488481,325973747,10516,92986,26968049,337168,69366393,2795,458250,,79179,3144,728836,16129,43000,5216,4092,2021-02-09 23:59:59.000000 UTC
2021-02-07,56,56,1498808,323085257,12061,95994,26797326,208303,68887069,1475,454146,,81439,1543,724054,16616,42779,5342,4079,2021-02-07 23:59:59.000000 UTC
2021-02-06,56,56,1888854,321586449,12070,114557,26701332,282477,68678766,2994,452671,,84233,2443,722511,17093,42730,5475,4078,2021-02-06 23:59:59.000000 UTC
2021-02-05,56,56,1868496,319697595,11546,131146,26586775,270754,68396289,3543,449677,,86373,2940,720068,17284,42626,5596,4060,2021-02-05 23:59:59.000000 UTC
2021-02-04,56,56,1663995,317829099,11914,123907,26455629,217496,68125535,5212,446134,,88668,3402,717128,17918,42472,5732,4059,2021-02-04 23:59:59.000000 UTC
2021-02-03,56,56,1384881,316165104,12077,116960,26331722,224499,67908039,3685,440922,,91440,3975,713726,18147,42323,5920,4044,2021-02-03 23:59:59.000000 UTC
2021-02-02,56,56,1385595,314780223,10590,117616,26214762,167082,67683540,3486,437237,,92880,3285,709751,18388,42148,6047,4035,2021-02-02 23:59:59.000000 UTC
2021-02-01,56,56,1507545,313394628,11957,120200,26097146,344975,67516458,1562,433751,,93536,1766,706466,18572,41998,6086,4025,2021-02-01 23:59:59.000000 UTC
2021-01-31,56,56,1725724,311887083,12007,119367,25976946,224593,67171483,2059,432189,,95013,2171,704700,18968,41934,6291,4019,2021-01-31 23:59:59.000000 UTC
2021-01-30,56,56,2139579,310161359,11986,148824,25857579,232299,66946890,2982,430130,,97561,3147,702529,19130,41872,6329,4016,2021-01-30 23:59:59.000000 UTC
2021-01-29,56,56,1955101,308021780,12400,167111,25708755,284168,66714591,3503,427148,,101003,2835,699382,19609,41758,6483,4011,2021-01-29 23:59:59.000000 UTC
2021-01-28,56,56,1936761,306066679,12095,157306,25541644,269667,66430423,4011,423645,,104303,3500,696547,20113,41588,6642,4000,2021-01-28 23:59:59.000000 UTC
2021-01-27,56,56,1626393,304129918,11972,153985,25384338,244553,66160756,4077,419634,,107444,4134,693047,20497,41402,6806,3985,2021-01-27 23:59:59.000000 UTC
2021-01-26,56,56,1733799,302503525,9879,146448,25230353,377450,65916203,3734,415557,,108960,3705,688913,20573,41205,6832,3976,2021-01-26 23:59:59.000000 UTC
2021-01-25,56,56,1630391,300769726,10963,133454,25083905,217006,65538753,1593,411823,,109938,2515,685208,20875,41028,6857,3949,2021-01-25 23:59:59.000000 UTC
2021-01-24,56,56,1792892,299139335,10892,144234,24950451,223447,65321747,1944,410230,,110628,1909,682693,21168,40931,6989,3943,2021-01-24 23:59:59.000000 UTC
2021-01-23,56,56,1990072,297346443,10864,177118,24806217,274547,65098300,3591,408286,,113609,6652,680784,21657,40853,7110,3941,2021-01-23 23:59:59.000000 UTC
2021-01-22,56,56,2022028,295356371,11247,190915,24629099,284392,64823753,3980,404695,,116264,4325,674132,22008,40687,7236,3919,2021-01-22 23:59:59.000000 UTC
2021-01-21,56,56,1933682,293334343,10907,186275,24438184,267695,64539361,3878,400715,,119949,4053,669807,22309,40481,7370,3910,2021-01-21 23:59:59.000000 UTC
2021-01-20,56,56,1851350,291400661,10529,189203,24251909,342450,64271666,4409,396837,,122754,5105,665754,22834,40340,7564,3897,2021-01-20 23:59:59.000000 UTC
2021-01-19,56,56,1596863,289549311,11503,146626,24062706,329847,63929216,2141,392428,,123910,3206,660649,23054,40103,7688,3883,2021-01-19 23:59:59.000000 UTC
2021-01-17,56,56,1916756,286181180,11404,187218,23765288,277842,63406544,2053,388892,,124387,2167,654604,23432,39864,7797,3860,2021-01-17 23:59:59.000000 UTC
2021-01-16,56,56,2116224,284264424,11334,218085,23578070,226342,63128702,3709,386839,,126139,4039,652437,23524,39797,7755,3858,2021-01-16 23:59:59.000000 UTC
2021-01-13,56,56,1827396,277789417,10942,224491,22887915,237885,62185469,4087,375536,,130391,5312,640606,23857,39248,7902,3811,2021-01-13 23:59:59.000000 UTC
2021-01-12,56,56,1944234,275962021,9181,218020,22663424,428795,61947584,4064,371449,,131326,4657,635294,23881,39049,7879,3796,2021-01-12 23:59:59.000000 UTC
2021-01-09,56,56,2137700,270270359,10850,269368,22021417,290183,61022599,3537,363584,,130781,6683,625179,23718,38607,7791,3767,2021-01-09 23:59:59.000000 UTC
2021-01-08,56,56,2146223,268132659,11633,295121,21752049,320284,60732416,3780,360047,,131921,4705,618496,23912,38432,7908,3756,2021-01-08 23:59:59.000000 UTC
2021-01-07,56,56,1928262,265986436,11612,272043,21456928,246578,60412132,4079,356267,,132370,5312,613791,23821,38236,7900,3748,2021-01-07 23:59:59.000000 UTC
2021-01-06,56,56,1650493,264058174,10062,250184,21184885,263088,60165554,3902,352188,,132474,6607,608479,23708,38064,7946,3739,2021-01-06 23:59:59.000000 UTC
2021-01-05,56,56,1721007,262407681,8008,219075,20934701,480256,59902466,3484,348286,,131195,4290,601872,23509,37841,7976,3718,2021-01-05 23:59:59.000000 UTC
2021-01-03,56,56,1444257,259174063,9407,208457,20536055,215583,59273596,1455,343255,,125562,2226,593690,23243,37433,7939,3688,2021-01-03 23:59:59.000000 UTC
2021-01-02,56,56,1934350,257729806,9356,280318,20327598,221792,59058013,2406,341800,,123614,3051,591464,23133,37309,7910,3684,2021-01-02 23:59:59.000000 UTC
2021-01-01,56,56,1545537,255795456,11506,182906,20047280,192048,58836221,2592,339394,,125047,4550,588413,23255,37196,7990,3681,2021-01-01 23:59:59.000000 UTC
2020-12-31,56,56,1797220,254249919,14931,226246,19864374,262855,58644173,3297,336802,,125423,4348,583863,23097,37066,8004,3672,2020-12-31 23:59:59.000000 UTC
2020-12-29,56,56,1343514,250868986,9939,199679,19408632,201698,58166211,3289,329605,,124686,5261,574001,22838,36583,7885,3635,2020-12-29 23:59:59.000000 UTC
2020-12-28,56,56,1332122,249525472,10365,164127,19208953,309721,57964513,1490,326316,,121202,3723,568740,22579,36308,7948,3612,2020-12-28 23:59:59.000000 UTC
2020-12-26,56,56,1974298,246798110,10229,190594,18891286,214555,57450504,1426,323429,,117344,2292,562715,22373,36038,7809,3593,2020-12-26 23:59:59.000000 UTC
2020-12-25,56,56,1568040,244823812,10214,126796,18700692,170690,57235949,1553,322003,,118948,2047,560423,22418,35945,7831,3592,2020-12-25 23:59:59.000000 UTC
2020-12-24,56,56,2031894,243255772,14410,206684,18573896,322117,57065259,2958,320450,,120200,4289,558376,22623,35899,7792,3587,2020-12-24 23:59:59.000000 UTC
